Ligand,3FGU,3S41,4RCH,7T78,4ISF,4DCH,4DHY,5V4X,4NO7,3F9M,3VEY,3IDH,7T79,6E0I,3IMX,4ISE,3ID8,3VEV,3VF6,5V4W,1V4S,eA,XGB,Predicted probability
active87.CHEMBL1164315,-8.3590107,-8.78227425,-9.65342712,-9.39331245,-9.9601202,-9.71454811,-7.48959017,-10.3476639,-10.7340517,-7.31596041,-8.17900658,-8.14879704,-8.87145233,-8.86850643,-10.0574551,-9.68883991,-7.94396687,-10.8897619,-9.56403828,-10.5654202,-7.75250959,-9.156176820952382,-9.001293890364266,0.8981055021286011
active5.CHEMBL604065,-8.83872223,-10.1766119,-10.0662098,-8.04803467,-10.5136728,-9.76311493,-10.2357302,-9.25505924,-10.7053099,-7.80428791,-8.34130096,-9.19462395,-11.7726946,-9.86733246,-8.87472248,-10.3283329,-7.94624043,-11.1122475,-10.8775997,-10.0485182,-7.87884808,-9.602343563809521,-9.531494599577497,0.8971132040023804
active74.CHEMBL608393,-7.74270296,-8.30908489,-7.7200489,-8.54686451,-8.20131874,-8.36760139,-8.17726803,-8.36332703,-8.68688297,-6.99383307,-7.93988895,-8.32578468,-9.06929779,-7.58744335,-8.01455975,-8.74161053,-7.40986633,-8.96867657,-8.16089725,-8.22513866,-9.03455925,-8.21841217142857,-8.210441111004686,0.8878868818283081
active24.CHEMBL596480,-7.14973783,-9.82297421,-9.68232155,-10.4965019,-9.92381859,-9.41496277,-9.82385349,-9.13442612,-7.73497725,-7.61602163,-8.0078125,-9.75762844,-11.3078756,-9.7284174,-10.6305208,-9.73799229,-7.84883881,-10.8390026,-10.1450548,-9.69612885,-7.74701214,-9.345041884285715,-9.331083237239975,0.8835126161575317
active120.CHEMBL563986,-8.59803104,-9.22031498,-9.57562637,-9.00166035,-9.41981697,-9.86812973,-9.14685535,-9.40479469,-8.68189049,-7.54875231,-7.71031904,-9.28546619,-9.83088112,-8.62082386,-9.2088213,-9.71049881,-7.34272718,-9.73440456,-8.59993458,-9.53193665,-7.52853346,-8.931915191904762,-8.799599422563038,0.8804263472557068
active3.CHEMBL562878,-7.2124486,-8.94720364,-9.26607323,-10.2014809,-9.6910696,-9.93127632,-9.00791836,-9.28819942,-7.59813356,-6.98673058,-7.85456753,-8.91642761,-10.5983334,-8.99237061,-8.45424938,-9.72767735,-7.690763,-9.79956341,-9.39797688,-9.38668919,-8.18142986,-8.910980115714285,-8.871960098423067,0.8700628876686096
active109.CHEMBL519273,-7.84803009,-9.53950024,-10.2016106,-8.31223869,-9.98664761,-10.7341919,-9.62859344,-10.5148535,-9.96598625,-7.46671677,-8.64379883,-9.5807333,-9.29909515,-9.40240765,-10.4970646,-8.65341091,-7.85140657,-10.4123344,-10.2510166,-10.5744629,-8.42125416,-9.418350198095235,-9.28045496587594,0.8651934862136841
active49.CHEMBL194102,-10.8371582,-10.6949377,-11.1048651,-11.2416201,-9.53177166,-10.9971247,-10.6286221,-11.2496691,-11.1429434,-8.56426048,-9.11828518,-11.4206972,-11.8193092,-11.1166935,-11.5293446,-10.3243313,-8.75050068,-12.2589808,-11.3236275,-11.3202143,-8.71382618,-10.65184680857143,-10.591372233987531,0.8545647859573364
active33.CHEMBL575278,-8.81993675,-9.12616348,-9.54665852,-9.25636196,-10.0469513,-9.41311359,-9.13920307,-10.2694693,-8.26527023,-8.2130928,-8.63190842,-9.04667282,-8.8573885,-8.64453697,-9.30966759,-10.5781279,-8.92393398,-10.0451593,-9.29677868,-10.205658,-7.40461063,-9.19241256142857,-9.088276558050586,0.8541818261146545
active18.CHEMBL574879,-8.1942606,-8.29492664,-9.15624809,-8.80013371,-9.56389141,-9.17503548,-8.37664318,-9.35366249,-8.87476921,-10.3939333,-9.84928894,-8.68628788,-7.67227364,-8.55903435,-8.51662922,-10.0602694,-9.13700676,-9.52191639,-9.32926655,-9.39453697,-10.9115877,-9.134361995714286,-9.22358701167545,0.853828489780426
active57.CHEMBL210838,-8.4907217,-8.54044437,-8.37464809,-8.73594284,-7.81710911,-8.91287422,-8.56474876,-8.05762577,-8.64317894,-6.99348545,-6.97407293,-8.91370773,-9.34932899,-9.04417992,-8.90547752,-8.2472744,-7.19262743,-9.63181019,-9.12276363,-8.20651436,-7.39042282,-8.386140912857144,-8.365935358206404,0.8498049378395081
active54.CHEMBL373364,-8.47645473,-11.0240326,-11.3656206,-11.3631468,-9.94277668,-10.9602528,-10.8293276,-11.3941393,-11.5625401,-8.74041557,-9.2263031,-11.2754097,-8.70249367,-11.4393139,-11.7499771,-10.9907179,-9.74940872,-12.8588543,-11.5583525,-11.718627,-8.70683575,-10.649285734285714,-10.484044630466503,0.8359585404396057
active70.CHEMBL576936,-9.2528553,-9.42443371,-9.1407547,-9.72587299,-9.99347401,-8.83257008,-9.40585232,-9.77727699,-9.39485455,-7.35434628,-8.0840168,-9.81311417,-6.83732128,-8.52798653,-10.1199865,-10.7767057,-7.17328358,-9.77600479,-9.30481529,-9.79325676,-10.1386356,-9.173686568095238,-9.287061081863282,0.8312437534332275
active37.CHEMBL505096,-8.9183321,-8.69691944,-8.89123535,-9.27540398,-8.51128101,-8.67908192,-8.63290882,-9.01747704,-8.08850384,-7.5543375,-9.00960255,-9.07715893,-9.54309654,-8.58846474,-9.13054466,-8.81769657,-8.18105316,-10.0064087,-8.90155697,-8.75054836,-9.16331196,-8.830234482857144,-8.794826448066537,0.8168173432350159
active125.CHEMBL594634,-7.27159357,-10.2744732,-9.88481522,-10.6993504,-9.78629494,-9.79756927,-10.2227402,-9.31267166,-10.5045853,-7.89806509,-8.42219925,-9.67821503,-8.27634239,-9.92647839,-8.92425537,-9.95647812,-8.07803059,-11.1436853,-7.81607056,-10.161602,-7.80676174,-9.325822742380954,-9.286857951389765,0.8140313029289246
active112.CHEMBL372860,-11.0123806,-9.89560318,-10.4064779,-10.4295044,-9.69617844,-10.7750063,-9.86032009,-9.58896732,-10.4547758,-7.92022038,-8.73542118,-10.8729572,-11.1460953,-10.2325983,-10.8828964,-9.80298519,-8.07726669,-11.1767921,-10.3994541,-9.93043804,-9.12861347,-10.020235827619047,-10.01198472559977,0.5171499252319336
active62.CHEMBL451084,-7.38130379,-7.35482073,-7.7229619,-7.69398546,-7.34767771,-7.60350132,-7.35965919,-7.80241585,-7.77816725,-8.34932041,-7.54665613,-7.47389984,-7.93106937,-7.35725021,-7.86193514,-7.66091251,-7.91971636,-8.9545927,-7.63732481,-7.73223782,-8.72574043,-7.771197568095239,-7.811730078189639,0.50691157579422
decoy4081.ZINC04725827,-7.55926275,-10.6659679,-10.4043655,-10.4605703,-9.46968651,-10.525157,-10.7306957,-8.43554115,-11.8906116,-7.12812042,-7.78555584,-10.0186415,-7.07430649,-9.49641037,-10.508666,-9.50754642,-7.34860325,-10.3983374,-10.8024817,-8.94787502,-7.36964273,-9.358478359523811,-9.276719945699185,0.5027238726615906
active103.CHEMBL575087,-9.26603222,-9.59675312,-9.89750481,-10.0109587,-11.030961,-9.61169052,-9.68847179,-10.8409662,-10.1403294,-9.97226238,-8.48425961,-10.0101891,-8.98174191,-8.97116375,-9.56587982,-11.1998177,-8.02781773,-10.5202951,-9.16015911,-10.6814356,-11.7873201,-9.878381412857141,-10.015117002105427,0.4896274507045746
active58.CHEMBL195431,-10.5581245,-9.6085844,-10.0539246,-10.207181,-9.09442806,-10.0140705,-9.54953384,-9.09250259,-7.87939024,-7.54388523,-8.03071213,-10.2063932,-8.33063698,-9.99078846,-10.0164156,-9.18060207,-8.12391853,-10.6003838,-9.82387447,-9.46007156,-8.82110596,-9.342215605714284,-9.34175298852937,0.45574963092803955
active81.CHEMBL573750,-9.17775631,-9.49387646,-9.52152252,-9.70693874,-10.4933271,-9.74216747,-9.52793503,-10.8065042,-9.901577,-9.4739809,-8.47866344,-9.71677971,-9.53507042,-9.110322,-9.68492031,-11.1263409,-9.83171272,-10.1831779,-9.63270187,-10.5197725,-11.1455336,-9.84812290952381,-9.951640505289806,0.39377784729003906
decoy1176.ZINC10062832,-8.95582581,-9.87001133,-10.1553926,-10.9086752,-10.2898493,-10.7639732,-9.86030102,-10.1304846,-9.3713789,-8.31932735,-9.54903793,-10.0738211,-8.9181242,-9.92680264,-11.2435799,-10.6159687,-8.71881962,-12.3531542,-10.201623,-10.1704006,-7.79134321,-9.913709257619047,-9.867774697006992,0.3631773293018341
decoy100.ZINC64604935,-9.15066242,-9.1244154,-9.39578819,-7.67398596,-10.5817566,-9.54243279,-9.08242321,-10.1868076,-7.67666674,-7.16778898,-7.79498911,-9.57556438,-9.96749496,-8.62281322,-9.4953146,-10.4866333,-7.92844248,-9.7423563,-8.35285759,-9.930686,-7.96336699,-9.02110699142857,-9.04120852531095,0.3374232053756714
decoy1181.ZINC09612081,-9.05283642,-9.63826847,-10.1837721,-10.5425148,-9.93104458,-10.1254139,-9.66348648,-9.47181606,-10.0118456,-8.27794933,-8.82555103,-9.46840191,-10.0601377,-9.45978928,-10.3156404,-11.350873,-7.88738966,-10.2683306,-10.0180731,-10.151166,-8.16096973,-9.660250959523811,-9.676464254558873,0.2984698414802551
decoy4635.ZINC45522029,-9.93240452,-11.0233459,-11.8464432,-10.4849939,-9.55614185,-10.4363308,-10.9808636,-9.49226093,-10.737422,-9.96821213,-10.8830271,-11.6199598,-9.6084528,-11.1093225,-11.6914597,-11.3051682,-9.36050701,-12.4945316,-10.8425941,-9.3167448,-11.070323,-10.655262354285712,-10.585072364346633,0.22754955291748047
decoy4401.ZINC11910990,-9.27815723,-10.4711533,-11.3830261,-10.616601,-10.3610992,-10.7091408,-10.5620842,-9.23749256,-8.62509441,-7.61760139,-8.00141811,-10.0497971,-8.72703266,-10.8666811,-11.2670641,-10.1561327,-8.58941078,-11.8040752,-10.0202608,-9.89687061,-8.8518343,-9.861525126190477,-9.830984522811386,0.22071102261543274
decoy2296.ZINC08387170,-8.17334843,-9.22792816,-9.60872936,-9.25109482,-11.0798368,-9.69919872,-9.18351555,-9.24400616,-7.80314207,-7.38553429,-9.16934776,-9.989007,-9.82497025,-8.90039635,-9.8713274,-11.9962397,-7.78383017,-9.83607483,-10.6926584,-10.5501328,-7.84732294,-9.386554379047618,-9.423246621667426,0.18291142582893372
decoy1096.ZINC12850911,-9.05279827,-8.53516006,-9.48820972,-7.32979298,-10.1221399,-9.50669956,-8.60599232,-10.166523,-9.46603107,-7.66956806,-8.11906719,-9.92669868,-7.21954918,-7.69461918,-9.99265289,-10.7137957,-8.12643814,-9.30579185,-9.85077953,-10.1685371,-8.5580492,-9.029471122857144,-9.064412581200862,0.16787460446357727
decoy1536.ZINC15777811,-8.66708279,-8.98255157,-9.93424797,-7.28158426,-9.94190121,-10.5294218,-8.92831802,-9.37159061,-7.8100791,-7.3923912,-8.55709743,-10.0004826,-8.73294353,-8.27846622,-9.88175201,-10.7787533,-6.41980219,-8.38546181,-8.88462067,-10.3968277,-7.61422396,-8.893790473809524,-8.87189491101951,0.14883646368980408
decoy3635.ZINC06830311,-8.81771183,-10.7189913,-9.37705994,-9.97662258,-10.9558659,-9.57304287,-10.675642,-10.0372276,-7.92201328,-7.87422371,-8.27326488,-9.78399944,-10.2073727,-9.56803226,-8.9617281,-9.78950119,-8.66792107,-10.9530916,-9.17936134,-10.5341854,-8.0440712,-9.518615723333332,-9.52567427691037,0.12323978543281555
decoy2326.ZINC33273796,-8.45594406,-9.78125477,-9.54334545,-11.3500214,-9.37679863,-8.98056221,-9.75570774,-9.41081429,-10.0729504,-10.3041792,-10.5175495,-9.30565071,-9.11333942,-9.54119492,-9.19214439,-9.41770935,-9.33966255,-10.3031979,-9.21953011,-9.54487324,-7.79777718,-9.539247972380952,-9.49937616715737,0.11999842524528503
decoy3435.ZINC29565473,-9.49749374,-9.17623901,-9.54453468,-9.05867577,-8.75524139,-9.75728512,-9.07415867,-9.02535248,-9.61752129,-7.31293297,-7.57731676,-9.45851898,-10.1590872,-8.51776695,-9.18754482,-8.60972118,-7.65501738,-9.58485222,-8.96082497,-8.98577499,-7.54975748,-8.907886573809524,-8.879720724350184,0.11865980923175812
decoy1047.ZINC18165899,-9.68412113,-10.1464987,-9.85462952,-10.5304489,-9.89511776,-9.8596077,-10.2765665,-9.54886436,-9.212924,-9.83057022,-9.03179264,-9.51567554,-11.3778629,-10.1227264,-10.8919048,-10.1839762,-8.94466114,-11.2872572,-9.31924248,-10.1110687,-7.96333504,-9.88518342047619,-9.877480209003673,0.11335580796003342
decoy578.ZINC19527979,-7.43572807,-9.4495163,-10.2487288,-7.89257336,-9.71511078,-10.5302601,-8.66400433,-10.1834431,-11.0421343,-7.89368916,-8.0811615,-9.67545795,-8.56442642,-10.7508974,-9.42038822,-8.8976717,-7.34467554,-11.9865084,-10.9702797,-10.6746044,-7.91028786,-9.396740351904763,-9.245244998652973,0.11135482043027878
decoy845.ZINC08828484,-8.72771645,-10.0666437,-10.6019154,-9.70393658,-9.90634537,-9.88593102,-10.0157576,-9.39042664,-10.159852,-7.74220562,-10.3941469,-9.14909077,-9.41796207,-10.0217524,-10.079072,-9.92217541,-8.91178894,-11.3904619,-10.1977348,-10.5996618,-8.44505596,-9.74903015857143,-9.663045727607157,0.10978598147630692
decoy988.ZINC17201849,-9.93560123,-10.1082754,-10.3641605,-9.57129765,-9.27461052,-10.84694,-10.0685024,-9.3786087,-9.5565176,-7.48537588,-8.78628731,-10.6407843,-9.9920454,-9.35311508,-10.5908756,-9.36994553,-7.89969683,-11.4807997,-10.6359825,-9.51891518,-7.70531464,-9.64588818809524,-9.558618674388768,0.10636179894208908
decoy990.ZINC38667027,-7.82239389,-10.4234467,-10.6219082,-10.2020607,-11.1254711,-10.3483849,-10.4503202,-11.2579432,-12.0163574,-9.07563972,-8.97903633,-9.94128609,-8.58439445,-10.3816471,-11.1099234,-11.6694613,-8.96568203,-12.0208597,-10.5767784,-11.2840776,-9.33647251,-10.29493071047619,-10.280406517645696,0.1016428992152214
decoy3668.ZINC19808320,-9.30032253,-9.43324947,-8.89921188,-9.80714417,-9.65024185,-9.49934196,-9.33930588,-9.36950588,-9.71706009,-7.32955217,-8.12397575,-9.58907032,-9.95736694,-8.85264683,-9.15573025,-9.77682877,-9.20615864,-10.0264759,-9.56309986,-9.19436455,-9.18697166,-9.28464882619048,-9.329530196042592,0.09669692069292068
decoy818.ZINC10697082,-8.79546738,-9.51118946,-11.4753561,-10.8107967,-8.80751133,-9.74519539,-9.65733528,-9.09140778,-7.62917948,-8.62737465,-8.67931843,-9.53638172,-9.77576256,-10.3989773,-10.0627556,-8.66687202,-8.7380209,-12.1932745,-9.15212345,-10.3986683,-8.97216988,-9.558339914761905,-9.502707917365543,0.09115689247846603
decoy1078.ZINC06442405,-9.30164146,-10.208354,-10.3183775,-9.4351778,-9.28566265,-10.1268339,-10.3230391,-9.11760235,-8.95242786,-7.55884504,-8.53514481,-9.98065853,-8.68090439,-10.3443642,-10.2639389,-9.6838007,-7.36614275,-10.7701464,-10.1868963,-10.0035782,-9.04790497,-9.499592467142856,-9.44969448166032,0.0893157497048378
active21.CHEMBL480725,-7.57309866,-9.88114929,-10.4365492,-10.6143274,-10.0825958,-10.7815533,-9.85477638,-10.4756021,-10.2784128,-7.94403982,-8.5078125,-9.73666191,-10.3210268,-9.34635544,-11.1541605,-8.8842392,-8.9196825,-10.9047222,-10.0746422,-10.8563223,-8.92334366,-9.788146379047618,-9.756752863066298,0.0873531624674797
decoy2237.ZINC60487298,-8.63740253,-8.3976841,-8.42045879,-8.57135487,-8.13631535,-8.68162823,-8.44579792,-8.59757519,-8.72741508,-7.62722492,-7.89663219,-8.88872528,-9.46271133,-8.31446362,-8.87057877,-8.80119419,-7.96859741,-9.13825989,-8.67487717,-8.2907753,-8.14095974,-8.509077708095239,-8.508173065173494,0.08488520234823227
decoy398.ZINC45830000,-9.47194767,-8.94575977,-10.2455349,-9.35436726,-8.12121487,-8.63977718,-8.89137173,-8.23812103,-9.21323872,-7.20920563,-8.67937756,-9.58102798,-9.45367146,-8.62583733,-9.36477184,-8.13844585,-8.38100719,-9.84597588,-8.63579464,-8.17963123,-8.71770763,-8.853989873809525,-8.86749159608491,0.08473195135593414
decoy4457.ZINC12820121,-8.7054081,-9.97805786,-9.59774303,-11.3938503,-10.1572504,-11.6189232,-10.2186384,-9.53929901,-9.36009693,-8.11695385,-9.81959343,-8.96465588,-10.5052252,-10.3106852,-12.0700102,-10.0241671,-8.14191723,-12.4209538,-10.7883072,-9.90087414,-10.1162977,-10.083281340952382,-9.9656677349603,0.08260227739810944
active123.CHEMBL575904,-9.54526615,-9.73755169,-9.52621078,-9.75635433,-10.4086313,-8.9875412,-9.74912453,-9.98126984,-9.50812817,-7.75938511,-8.82979202,-9.98517513,-8.5517292,-8.6690588,-9.07520294,-10.7477932,-8.52638054,-10.2295618,-9.72514915,-10.4483709,-7.05573273,-9.371590929047617,-9.389159452706028,0.08121514320373535
decoy154.ZINC66278184,-7.3347249,-8.88963795,-9.16975212,-10.3903418,-9.2283783,-8.67017841,-8.88988495,-8.65091801,-9.32135487,-7.0221324,-7.51167011,-8.21166515,-9.55843735,-8.43445778,-8.8430357,-8.883111,-7.58325863,-9.73800755,-8.77250385,-9.97051334,-7.25616693,-8.682387195238094,-8.70929140954423,0.07838577777147293
decoy2470.ZINC33302800,-8.91115761,-9.81610966,-10.4381819,-10.0521488,-10.8170042,-9.75216103,-9.79472542,-10.1232758,-9.50875854,-9.21560764,-9.84919548,-9.79544544,-8.77551651,-8.66725826,-10.3839989,-10.2557802,-9.19400787,-9.7957201,-10.9546986,-10.1875,-8.8730011,-9.76958347904762,-9.77814381946694,0.07752200216054916
decoy3519.ZINC14607762,-8.81955719,-8.79519081,-8.4904604,-8.72248936,-8.28918934,-9.64794445,-8.75528717,-8.11760807,-9.77836514,-7.29986858,-8.26808548,-8.63420963,-9.85110855,-7.68003988,-8.32374859,-8.84301376,-8.11643219,-10.0663252,-8.14120007,-7.992805,-8.11137295,-8.606871514761904,-8.585680819233641,0.07629790902137756
decoy4554.ZINC12312157,-8.04965878,-9.96265125,-9.9960947,-11.7450047,-10.6803246,-11.3440504,-9.97123241,-11.2670879,-9.25614357,-8.58246136,-7.91932821,-9.80181789,-8.40932274,-10.5451517,-9.46212769,-10.7863369,-8.96692848,-11.9214592,-10.2135019,-10.8789768,-8.53893089,-9.918980574761903,-9.794706099770233,0.06810405105352402
decoy815.ZINC09636412,-8.23605442,-11.0352631,-10.2164602,-10.7853985,-9.51587296,-11.1822929,-11.21807,-10.3750534,-7.5686245,-8.52736568,-7.94879627,-10.0916758,-9.72044659,-9.82016659,-9.73544979,-11.8315678,-8.32756519,-11.5316563,-11.331624,-10.3524294,-7.84493542,-9.86651280047619,-9.675351609006832,0.06532957404851913
decoy3788.ZINC15826111,-9.23835564,-10.1319027,-10.6296062,-10.1491785,-10.9062624,-8.84792614,-10.1317215,-10.461195,-10.5059643,-10.2137547,-9.13581467,-9.60954666,-9.65940571,-9.56397533,-9.0469408,-10.8923941,-8.77040958,-10.9843302,-10.2453136,-10.1834764,-9.73187733,-9.95425483142857,-9.98991597597147,0.06300029903650284
